cohort	cell_type	contrast	clr_effect	CI_low	CI_high	t	p_value	contrast_FDR	n_samples	n_donors	duplicate_correlation	analysis_role	compositional_fold_ratio	fold_ratio_CI_low	fold_ratio_CI_high	global_primary_FDR	cell	contrast_label	model_test	covariates	primary_FDR_family	statistical_unit
GSE219280	Inh_SST	ALS_vs_FTD_mean	0.630484614665718	-0.0531862078785809	1.31415543721002	1.84569530975458	0.070003619990365	0.108894519985012	33	17	0.236677165090426	primary	1.87852071740289	0.948203433092832	3.72160652720016	0.163341779977518	Inh_SST	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_VIP	ALS_vs_FTD_mean	0.462486014561537	-0.140769359304839	1.06574138842791	1.53436953163527	0.130334907017295	0.16492226153266	33	17	0.236677165090426	primary	1.5880169150478	0.868689643777735	2.90299042994365	0.238184228580531	Inh_VIP	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_other_CGE	ALS_vs_FTD_mean	0.647320328093841	0.0399183290189432	1.25472232716874	2.13292502474799	0.0371416879558334	0.0742833759116668	33	17	0.236677165090426	primary	1.91041467933635	1.04072577362645	3.50686447814809	0.103996726276333	Inh_other_CGE	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Micro	ALS_vs_FTD_mean	-0.470841657687503	-1.0851577461616	0.143474430786593	-1.53396535741923	0.130434220413148	0.16492226153266	33	17	0.236677165090426	primary	0.624476451628749	0.337848487388919	1.15427729646726	0.238184228580531	Microglia	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	OPC	ALS_vs_FTD_mean	-1.46339395170879	-2.10384138059534	-0.822946522822246	-4.57309612563546	2.54706691273555e-05	0.000356589367782977	33	17	0.236677165090426	primary	0.231449412070547	0.121986928846008	0.439135822621003	0.000356589367782977	OPC	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Oligo	ALS_vs_FTD_mean	-0.36211078864783	-1.36971661173653	0.645495034440867	-0.739925313435662	0.466196289703944	0.466196289703944	33	17	0.236677165090426	primary	0.696205231932701	0.254178980687295	1.90693079207353	0.631620779598892	Oligodendrocyte	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	VLMC	ALS_vs_FTD_mean	-0.829741980973959	-1.49288091952336	-0.166603042424558	-2.50421201596445	0.0150842172381856	0.0351965068890997	33	17	0.236677165090426	primary	0.436161809849679	0.224724309420982	0.846535583362153	0.0633537124003794	VLMC	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Astro	ALS_region_interaction	-0.236877792874916	-1.16683689352238	0.693081307772546	-0.509792051752043	0.612116949508823	0.94876185381333	33	17	0.236677165090426	secondary	0.789087714266502	0.31135021923447	1.99986825876433		Astrocyte	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Endo	ALS_region_interaction	0.140608174282558	-0.843970622377823	1.12518697094294	0.285820024039298	0.776026595937273	0.94876185381333	33	17	0.236677165090426	secondary	1.15097357857204	0.429999762604249	3.0807928138094		Endo	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_deep	ALS_region_interaction	0.216601662865085	-0.645421624515904	1.07862495024607	0.502892720415167	0.616929632464358	0.94876185381333	33	17	0.236677165090426	secondary	1.24184932889736	0.524441378143615	2.94063325274174		Exc_deep	ALS_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
