feature	cell_type	log2FC_per_pTDP_level	logCPM	F	p_value	FDR	layer	n_donors	model	target_global_FDR	loo_same_direction_fraction	model_test	candidate_FDR_family	transcriptome_FDR_family	valid_LOO_iterations	uncertainty_interval
CCT8	IN	0.0773384377857783	4.82059785328321	0.059520561955822	0.809917833749134	0.943740303052882	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.963802222161469	0.785714285714286	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT8	MG	0.227536838635572	5.29265999258755	0.963541055202681	0.337285415080837	0.71379737543257	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.657983022862616	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT8	ODC	0.144326618152881	4.63204513796776	0.514332872476136	0.481150305380632	0.994051487212985	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.737806342573163	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT8	OPC	0.329594904961356	4.66285981975957	1.76871497045638	0.199348407002436	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.465146283005684	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CHORDC1	ASC	-0.308969063467591	5.08062664127874	0.86355245080059	0.363043101577127	0.890560140910387	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.67503326699497	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CHORDC1	EX	1.04755965338898	5.47717781931013	10.8579107489907	0.00504306867060133	0.167623803983626	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.0600125171801559	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CHORDC1	IN	0.524852452273682	5.62649991007481	2.77563000758282	0.112382459831471	0.641594490218719	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.326183237071832	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CHORDC1	MG	0.255168049835655	5.88816759674685	1.20324447350138	0.284868763042132	0.677560225743228	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.594726014070416	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CHORDC1	ODC	0.399133025722069	6.05127476309707	4.64137281119547	0.0429178245335979	0.835845759417506	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.201632641280649	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CHORDC1	OPC	0.34397698257649	5.63852706554336	2.2689451552861	0.148621346442279	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.393020893925138	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COA3	ASC	-1.69127440779166	2.28474128612421	6.35078847188184	0.0181155695535134	0.466097689073961	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.133770060161769	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
COA3	EX	1.91266677402391	2.46811679381048	4.25438754346154	0.0567367979279296	0.230667543442484	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.232816515635297	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
